timestamp,x,y,z
5084427,1154,-2206,3067
5084467,1254,-2330,3487
5084507,1479,-2493,3271
5084547,1308,-2266,3132
5084587,1336,-2621,3284
5084628,872,-2494,3580
5084667,585,-2618,3487
5084708,578,-2275,3611
5084748,674,-2013,3643
5084788,805,-2127,3403
5084829,906,-2201,3272
5084868,983,-2238,3311
5084908,1064,-2332,3295
5084948,1096,-2509,3036
5084988,1164,-2638,3042
5085029,1160,-2586,2980
5085069,1198,-2592,2964
5085109,1135,-2560,3117
5085149,1032,-2570,3118
5085189,1030,-2512,3041
5085230,1221,-2544,3083
5085269,1263,-2478,2994
5085309,1358,-2720,3012
5085349,1321,-2495,3123
5085390,1335,-2617,3074
5085431,1379,-2704,3024
5085470,1212,-2548,3050
5085510,1243,-2541,3096
5085550,1226,-2421,3097
5085590,1246,-2279,3157
5085631,1197,-2405,3044
5085671,1243,-2483,3080
5085711,1074,-2290,3249
5085751,1071,-2290,3151
5085791,1087,-2339,3000
5085832,1204,-2682,2928
5085871,1242,-2459,3047
5085912,1349,-1426,3516
5085952,1289,-1475,3693
5085992,1183,-1198,4069
5086033,921,-1268,4134
5086072,972,-1399,3844
5086112,947,-1480,3727
5086153,903,-1963,3610
5086193,942,-1678,3830
5086234,865,-1642,3961
5086273,916,-1857,3570
5086313,1025,-1930,3503
5086353,1061,-1820,3505
5086393,1099,-1973,3355
5086435,1125,-1996,3318
5086474,1092,-1923,3406
5086514,1096,-2088,3431
5086554,1135,-1991,3232
5086594,1304,-1993,3451
5086635,1320,-1820,3571
5086675,1477,-1943,3577
5086715,1475,-1852,3609
5086755,1578,-2152,3394
5086795,1571,-2189,3248
5086836,1521,-2005,3269
5086875,1597,-2384,3462
5086915,1512,-2112,3387
5086956,1511,-2187,3283
5086996,1211,-1904,3343
5087037,1254,-2222,3523
5087076,950,-1724,3622
5087116,1063,-1619,3515
5087156,978,-1354,3538
5087196,918,-2478,3742
5087238,763,-1920,4084
5087277,673,-1739,4004
5087317,563,-2065,3864
5087357,636,-1666,4021
5087397,670,-1470,4089
5087438,637,-1335,3776
5087478,614,-1082,3979
5087518,589,-1238,3669
5087558,463,-1120,3643
5087598,459,-905,3888
5087639,387,-1014,3686
5087678,419,-837,3788
5087719,396,-836,3745
5087759,436,-950,3827
5087799,375,-899,3976
5087840,343,-709,4034
5087879,418,-783,4128
5087919,451,-662,4065
5087960,444,-951,4091
5088000,403,-816,4140
5088041,414,-549,4179
5088080,492,-678,4013
5088120,508,-891,4002
5088160,437,-798,4056
5088200,424,-642,4054
5088241,430,-800,4096
5088281,441,-694,4038
5088321,491,-761,3932
5088361,418,-819,4040
5088401,396,-739,4062
5088442,325,-755,4363
5088481,259,-642,4036
5088522,300,-708,4034
5088562,236,-781,4214
5088602,244,-990,4002
5088643,259,-669,3595
5088682,315,-726,3761
5088722,237,-1729,3425
5088763,597,-2319,3586
5088803,532,-2149,3619
5088844,694,-2397,3397
5088883,600,-2628,3551
5088923,515,-2317,3472
5088963,662,-2353,3627
5089003,534,-2222,3586
5089044,556,-2227,3565
5089084,566,-2076,3622
5089124,587,-2087,3523
5089164,641,-2186,3346
5089204,678,-1976,3558
5089245,550,-2193,3362
5089285,534,-2436,3530
5089325,472,-2196,3597
5089365,521,-2181,3429
5089405,617,-2275,3512
5089446,584,-2161,3492
5089485,579,-2199,3467
5089526,545,-2349,3482
5089566,632,-2251,3453
5089606,561,-2220,3334
5089647,644,-2274,3369
5089687,611,-2132,3411
5089727,654,-2289,3425
5089767,576,-2189,3388
5089808,607,-2192,3492
5089849,590,-2159,3463
5089888,629,-2324,3498
5089928,593,-2368,3445
5089968,593,-2286,3435
5090009,611,-2260,3348
5090049,576,-2161,3389
5090089,616,-2292,3429
5090129,545,-2172,3501
5090169,660,-2324,3475
5090209,642,-2285,3440
5090250,616,-2306,3541
5090290,601,-2261,3450
5090330,641,-2298,3430
5090370,587,-2282,3398
5090410,634,-2140,3477
5090451,556,-2279,3369
5090491,619,-2281,3422
5090531,596,-2217,3398
5090571,578,-2193,3452
5090611,623,-2181,3453
5090652,612,-2287,3486
5090691,567,-2280,3494
5090732,581,-2262,3370
5090772,648,-2254,3433
5090812,619,-2282,3405
5090853,577,-2167,3413
5090892,558,-2247,3405
5090932,553,-2230,3430
5090973,569,-2271,3367
5091013,608,-2242,3460
5091054,642,-2321,3505
5091093,655,-2291,3517
5091133,642,-2191,3529
5091173,591,-2284,3400
5091214,582,-2272,3513
5091254,560,-2232,3427
5091294,555,-2159,3470
5091334,558,-2209,3532
5091374,571,-2130,3504
5091415,523,-2076,3466
5091456,528,-2075,3556
5091495,511,-2111,3590
5091535,591,-2175,3448
5091576,579,-2052,3456
5091616,569,-2163,3576
5091657,449,-1871,3625
5091696,530,-2149,3552
5091736,468,-2063,3650
5091777,434,-2039,3610
5091817,474,-1823,3632
5091858,527,-2119,3573
5091897,591,-2128,3696
5091938,614,-2007,3668
5091978,614,-1870,3600
5092018,521,-1933,3649
5092059,811,-2460,2301
5092099,44,-1646,4060
5092139,374,-2346,3975
5092179,541,-1868,3677
5092219,257,-1816,3906
5092260,300,-1653,4209
5092300,607,-2053,3748
5092340,805,-2253,3515
5092381,919,-1957,3609
5092421,929,-1724,3550
5092462,951,-2039,3630
5092501,951,-2032,3494
5092542,893,-1691,3300
5092582,926,-2035,3505
5092622,638,-1993,3307
5092663,737,-1355,3687
5092703,801,-1816,3623
5092743,911,-1362,3657
5092783,668,-1074,3827
5092824,658,-1520,3891
5092865,608,-1238,4157
5092904,490,-925,4213
5092944,586,-784,4079
5092985,673,-349,4131
5093025,641,-17,4453
5093066,469,-560,4312
5093105,528,-908,4281
5093146,347,-375,3753
5093186,341,-560,4255
5093226,114,-1068,3967
5093267,439,-909,4236
5093307,575,-842,4115
5093347,633,-795,3511
5093387,541,-1291,3683
5093427,569,-812,4351
5093468,810,-1153,4357
5093508,1189,-1088,4170
5093548,1063,-789,3729
5093588,1220,-958,3414
5093629,1110,-1328,3700
5093670,1028,-1055,3539
5093709,1100,-1269,3055
5093750,1341,-889,3947
5093790,1077,-641,3743
5093830,1361,-1066,3816
5093871,1262,-273,4381
5093910,1318,-549,3632
5093951,1317,-37,3850
5093991,1398,-173,3848
5094031,1282,60,3762
5094072,899,265,3904
5094112,858,-1649,3880
5094152,894,-3666,3115
5094192,1408,-2850,3195
5094233,1312,-1649,3488
5094273,1003,-1260,3758
5094313,774,-2206,3815
5094353,280,-2106,3915
5094393,-35,-819,4176
5094434,-254,-908,3939
5094475,257,-1279,4116
5094514,319,-1960,3253
5094554,616,-1800,3615
5094594,637,-1290,4017
5094634,456,-1546,4399
5094675,394,-1625,4342
5094715,348,-1575,4100
5094755,414,-1642,3630
5094795,382,-1547,3990
5094835,373,-1841,3604
5094876,361,-2296,3496
5094916,410,-1955,3377
5094956,410,-1916,3505
5094996,523,-2256,3608
5095036,477,-2173,3461
5095077,472,-1985,3455
5095116,456,-2203,3643
5095156,318,-2166,3554
5095197,354,-2234,3594
5095237,280,-2111,3527
5095278,260,-2251,3552
5095317,166,-2100,3648
5095358,147,-2055,3652
5095398,162,-2375,3281
5095438,301,-2137,3600
5095479,278,-2364,3317
5095518,327,-2537,3035
5095559,420,-2066,3209
5095599,571,-2485,3328
5095639,722,-2846,3015
5095680,1025,-2560,3326
5095719,747,-2535,3189
5095759,610,-2839,3465
5095800,438,-2453,3461
5095840,247,-2278,3236
5095881,200,-2488,3202
5095920,232,-2275,3410
5095961,292,-2534,3114
5096001,355,-2541,3476
5096041,521,-2641,3003
5096082,462,-2416,3340
5096121,450,-2347,3317
5096162,410,-2522,3546
5096202,231,-2272,3452
5096242,334,-2308,3352
5096283,378,-2414,3383
5096322,376,-2383,3169
5096363,443,-2565,3235
5096403,366,-2478,3299
5096443,282,-2323,3411
5096475,267,-2198,3576
5096515,255,-2283,3474
5096555,289,-2348,3561
5096595,282,-2284,3343
5096635,323,-2409,3201
5096676,385,-2452,3419
5096715,323,-2385,3504
5096755,166,-2214,3657
5096795,236,-2270,3510
5096836,332,-2128,3336
5096877,400,-2589,3205
5096916,436,-2596,3197
5096956,534,-2446,3154
5096996,519,-2433,3371
5097036,478,-2415,3393
